GeneSymbol	CellType	Allen.Average.donor.correlation.to.median	Allen.vs.Brainspan.correlation
DLEU7	Interneuron	0.563172402392042	0.55266141
DLG2	NA	0.667400163877868	0.82991468
DLG5	NA	0.662456874245299	0.68302496
DMD	NA	0.578318886205509	0.87119503
DMGDH	NA	0.572398798228969	0.73107467
DMKN	Ependymal	0.869186288885056	0.67547542
DMRT3	NA	0.899938905180841	0.82819624
DMWD	NA	0.627167787936289	0.5350938
DNAH5	Ependymal	0.813670145477546	0.67966261
DNAH6	Ependymal	0.638854508078891	0.52583412
DNAJA4	Ependymal	0.778653829567017	0.89444691
DNAJC21	NA	0.522085058363521	0.59621104
DNAJC4	NA	0.735963285607498	0.57297058
DNAJC5G	NA	0.804285621873383	0.85671362
DNAL1	NA	0.504674472428267	0.54129047
DNMT3B	NA	0.466314113621988	0.5591671
DOC2A	S1.Pyramidal	0.586797409579668	0.84525201
DOCK7	NA	0.578102538669427	0.85270075
DOCK9	NA	0.555342562244839	0.57538216
DOK3	NA	0.648932637571157	0.84772364
DOK6	Mural	0.833995313667989	0.86563497
DOM3Z	NA	0.53803871255247	0.58987851
DPM3	NA	0.471634394226899	0.81708161
DPP4	NA	0.760215053763441	0.77804021
DPP6	NA	0.551247053073429	0.71870672
DPT	NA	0.573945575297568	0.81113534
DPYSL3	NA	0.879804209073659	0.94011644
DPYSL5	Interneuron	0.476944612155713	0.55562521
DRD5	CA1.Pyramidal	0.812905382094187	0.91998426
DRP2	NA	0.527363291357599	0.7097498
DSCAML1	CA1.Pyramidal	0.559025861077569	0.53672473
DSCC1	NA	0.8223114685757	0.54303214
DSEL	NA	0.595788410672187	0.77484085
DSTYK	NA	0.5011683485711	0.52780015
DTNB	NA	0.510595997929964	0.67888022
DTX3	NA	0.546818756828245	0.70260133
DUS1L	NA	0.717526666091657	0.53779149
DUSP18	Ependymal	0.68059844172273	0.61192065
DUSP2	NA	0.529742395491921	0.5458732
DUSP7	NA	0.578762003335058	0.6868333
DVL2	NA	0.559244724282675	0.52513577
DYNLL1	NA	0.744537045023288	0.52777629
DYNLT3	NA	0.592722169512966	0.64158654
DYRK3	NA	0.835834986487264	0.59692749
E2F1	S1.Pyramidal	0.675980392156863	0.85535614
E2F3	NA	0.585500402507044	0.73838688
E2F5	NA	0.643346414812259	0.76975425
ECE2	Interneuron	0.50068605888103	0.77595503
ECM1	NA	0.862825958829279	0.8621278
ECSIT	NA	0.605256310735438	0.81587047
EDA	NA	0.460310289805072	0.73547639
EDEM1	NA	0.476415243516762	0.52648299
EDNRA	NA	0.73495486171008	0.89341813
EDNRB	NA	0.756044074521304	0.71291919
EEPD1	Interneuron	0.770153743315508	0.63662354
EFCAB1	Ependymal	0.863965197515956	0.62414281
EFEMP1	NA	0.562646268184693	0.66014352
EFHA2	NA	0.829204042320741	0.56440897
EFHC2	NA	0.725389209936174	0.7693857
EFNA5	NA	0.750911031568052	0.68550094
EFNB2	NA	0.651228005865103	0.64629335
EFNB3	Oligodendrocyte	0.697822508768903	0.70553824
EFR3B	Endothelial	0.692614714507504	0.92626073
EGF	NA	0.567653887068024	0.57960757
EHD2	NA	0.733366755793226	0.57998042
EHMT1	NA	0.562761270197229	0.64639453
EIF2A	NA	0.641993344258525	0.58290341
EIF2S3	NA	0.512581579552642	0.7137263
EIF3J	NA	0.471967181300673	0.56942753
EIF5A2	NA	0.888350296130182	0.90053903
ELL	NA	0.556377580357656	0.67131582
ELL2	NA	0.6995917428555	0.52159714
ELMO2	Astrocyte	0.606752774423552	0.59687802
ELTD1	Endothelial	0.642743013627738	0.83662595
EMB	Ependymal	0.76409816859295	0.73310021
EMC3	NA	0.539847478580875	0.62218901
EMCN	Endothelial	0.575088048415847	0.7118077
EMID1	NA	0.683523446035306	0.81834988
EML1	Oligodendrocyte	0.484897360703812	0.70294605
EML2	NA	0.649612946351561	0.70939161
EMP2	NA	0.447574176298085	0.53133495
ENAH	NA	0.514585849002357	0.70544865
ENC1	NA	0.73374734057846	0.82426424
ENG	Endothelial	0.456124575930079	0.52904058
ENKUR	Ependymal	0.511766862170088	0.86186894
ENO1	NA	0.717794045770801	0.68166065
ENO2	NA	0.571611393824392	0.80233509
ENOX1	NA	0.762567204301075	0.93841836
ENPP5	NA	0.674990296705192	0.68690207
ENTPD1	NA	0.579070711862458	0.54186347
ENTPD4	NA	0.645835849002358	0.77824027
ENY2	NA	0.465780791788856	0.56344901
EPB41	NA	0.89658623713415	0.87539742
EPB41L1	Interneuron	0.652731657179001	0.66315467
EPB41L3	Oligodendrocyte	0.506943246506814	0.79739583
EPB41L4A	NA	0.485210022425392	0.55529303
EPB41L4B	NA	0.716475116439538	0.80544334
EPCAM	NA	0.697334828359496	0.75973951
EPDR1	NA	0.619041817606808	0.8225853
EPHA3	NA	0.856509473290783	0.85233326
EPHA5	NA	0.74473147030073	0.54561951
EPHA6	CA1.Pyramidal	0.596563596112932	0.71427801
EPHA7	NA	0.584976783968719	0.52933575
EPHB6	NA	0.705704818584325	0.65747537
EPHX1	NA	0.593922862400092	0.71748982
EPHX2	Astrocyte	0.568316945546547	0.53438955
EPHX4	NA	0.626312101086769	0.85463738
EPRS	NA	0.450371959634294	0.61368527
ERBB2	NA	0.545444123397159	0.52882907
ERBB4	NA	0.457248720602611	0.59423733
ERC2	S1.Pyramidal	0.742525947329078	0.66349852
ERG	NA	0.454733770340981	0.78327253
ERICH1	NA	0.549609352538669	0.70219669
ERLIN1	NA	0.514963918118567	0.66603068
ERRFI1	Mural	0.72139073371284	0.6613531
ESAM	NA	0.597744882410442	0.72530885
ESRRA	NA	0.843241475475821	0.79851781
ESRRG	NA	0.899010982692197	0.92384908
ESYT1	NA	0.673461129319763	0.78987286
ETFB	NA	0.530395391294348	0.69445716
ETNK2	NA	0.774086093381634	0.86396372
ETS2	Endothelial	0.710650983267207	0.76234766
ETV1	CA1.Pyramidal	0.500214191248347	0.9158274
ETV4	NA	0.69811935771376	0.63089981
ETV6	Endothelial	0.747787648783854	0.75616443
EVI2B	Microglia	0.484895563797366	0.6451282
EXOC4	NA	0.540527787361279	0.52450858
EXOC6	NA	0.721188402047036	0.65617964
EXOG	NA	0.591839169685469	0.67837247
EXTL2	NA	0.849315019262837	0.86775669
EYA1	Astrocyte	0.540829667644184	0.62786748
EYA2	NA	0.622695647173826	0.71259044
EYA3	NA	0.609644715657524	0.71346135
EYA4	NA	0.712707722385142	0.9729236
F12	NA	0.795719768845955	0.56039085
F13A1	Microglia	0.468618825829452	0.58485824
F7	NA	0.575628917256052	0.55515531
FABP3	NA	0.694019535966879	0.59875237
FABP6	NA	0.851023517911563	0.78331491
FABP7	Astrocyte	0.900719121959634	0.95739237
FADS1	NA	0.50219330400782	0.68970666
FADS3	NA	0.668714061871083	0.88292157
FAH	Oligodendrocyte	0.647517753435685	0.6737638
FAM105A	NA	0.526202849174861	0.77282932
FAM107A	Astrocyte	0.640916278534874	0.60017977
FAM110A	NA	0.769670016100282	0.69698733
FAM120AOS	NA	0.451435368868955	0.5433434
FAM126A	Ependymal	0.542314271749756	0.7690469
FAM126B	NA	0.564357641883733	0.5930922
FAM129B	NA	0.459677419354839	0.58294175
FAM131B	NA	0.777219898223219	0.84961647
FAM135B	NA	0.722347766085906	0.84639075
FAM13B	NA	0.661754283824967	0.91153114
FAM156A	NA	0.636129679144385	0.63294373
FAM163A	NA	0.655618926456213	0.87541366
FAM167A	NA	0.466784543729515	0.59993304
FAM171B	NA	0.810257820136852	0.72488259
FAM174B	NA	0.504073586912771	0.57164323
FAM188B	NA	0.683130282904951	0.85225765
FAM19A1	NA	0.680194137772411	0.82911613
FAM19A2	NA	0.735799407739635	0.77120575
FAM40B	NA	0.637973664539129	0.65491007
FAM43A	NA	0.626140316830544	0.54293398
FAM49A	NA	0.656662929101259	0.78396597
FAM49B	NA	0.708632338565925	0.83459482
FAM57B	NA	0.725702590420332	0.75222594
FAM65B	NA	0.899873138404922	0.90277322
FAM69B	NA	0.479657940888966	0.54277917
FAM70A	NA	0.688230262779599	0.69725695
FAM73B	NA	0.494456902995802	0.56908997
FAM78A	Ependymal	0.735394744408027	0.82327662
FAM83D	Oligodendrocyte	0.725636823644414	0.86837395
FAM84A	NA	0.626182005060089	0.60828773
FANCC	NA	0.589843884767983	0.63760841
FARP1	Astrocyte	0.820815364268875	0.86873786
FASTKD1	NA	0.675479414639756	0.75062635
FAT4	CA1.Pyramidal	0.486146570064976	0.53753625
FBLN2	Endothelial	0.677395635673624	0.84051132
FBLN7	Ependymal	0.847427908113392	0.80734666
FBXL16	NA	0.525736731642804	0.60678699
FBXL2	S1.Pyramidal	0.659130441032718	0.54661399
FBXO15	NA	0.463813538611926	0.77356218
FBXO2	Astrocyte	0.695162368466448	0.71187357
FBXO21	NA	0.6004082571445	0.6771139
FBXO32	Oligodendrocyte	0.848809010407682	0.70337618
FBXO33	NA	0.847359985049738	0.77161156
FBXO42	NA	0.450485524121672	0.6043749
FBXO6	NA	0.484346429187511	0.57959266
FBXW7	NA	0.647810649186361	0.55314529
FCGBP	NA	0.695838724052671	0.54623558
FCGRT	NA	0.612102524294175	0.52768682
FEM1C	NA	0.524521663504111	0.65257503
FEZF2	NA	0.732250158127767	0.7233017
FGF2	NA	0.465677289977575	0.5839924
FGF5	NA	0.647988542924501	0.74121059
FGF9	NA	0.901908314645506	0.9245752
FGFR1	NA	0.607922560519809	0.85204234
FGGY	NA	0.738227028347996	0.59694375
FHDC1	Oligodendrocyte	0.798881964809384	0.82668278
FHL2	NA	0.477376588465298	0.7286324
FIBIN	Ependymal	0.548563912368466	0.70110696
FILIP1	NA	0.840070654361451	0.86565575
FJX1	NA	0.578392559369789	0.56479811
FKBP1A	CA1.Pyramidal	0.786636766143407	0.78653447
FKBP5	CA1.Pyramidal	0.777347478580875	0.72204248
FKBP7	NA	0.65598513598988	0.8016543
FLJ33996	NA	0.800323083778966	0.74410907
FLRT1	NA	0.603295526421712	0.52915713
FLRT3	Interneuron	0.699603243056753	0.64823853
FLT1	Endothelial	0.458197487206026	0.53830435
FLT3	NA	0.875417241676729	0.84406061
FNBP1L	NA	0.805803648438848	0.85214999
FNBP4	NA	0.453906115232017	0.70735111
FNDC4	CA1.Pyramidal	0.75099440802714	0.81728325
FNDC5	NA	0.819916551664654	0.82927143
FNTB	NA	0.549347363578863	0.67975087
FOLR1	NA	0.580715240641711	0.60001892
FOSL2	NA	0.702873253406935	0.65603622
FOXD4L3	NA	0.676466275659824	0.76851569
FOXP1	NA	0.729911664079121	0.64608862
FOXP2	NA	0.707236501638779	0.71261965
FOXRED1	NA	0.51319073083779	0.66155937
FOXRED2	Interneuron	0.724381504801334	0.7402355
FREM2	Astrocyte	0.461997225576448	0.54556355
FSTL4	S1.Pyramidal	0.707658774653556	0.80509556
FSTL5	Interneuron	0.809418664826634	0.924151
FXYD1	NA	0.45714485941004	0.70672374
FXYD6	NA	0.81421101431775	0.89484224
FYB	NA	0.723686820769363	0.64247663
FZD6	Endothelial	0.752543700764763	0.6320204
GABBR1	CA1.Pyramidal	0.686237852912426	0.64547262
GABRA1	NA	0.737994149272612	0.69761539
GABRA2	NA	0.710455479845897	0.73716142
GABRA3	NA	0.838779397389454	0.93706277
GABRA5	CA1.Pyramidal	0.928139195560922	0.90526831
GABRB1	NA	0.867761701454775	0.89617505
GABRB2	NA	0.651441478350871	0.52422924
GABRB3	NA	0.676032143062504	0.78133685
GABRD	NA	0.790550787763786	0.7543391
GABRE	NA	0.729992524869185	0.7104139
GABRG1	Astrocyte	0.592697372204014	0.6635449
GABRG2	NA	0.710677218101317	0.89011822
GABRQ	NA	0.679035851877408	0.86551097
GADD45B	NA	0.577272367891438	0.70400008
GAL	NA	0.906780446782819	0.88169653
GALNT13	NA	0.624022482893451	0.82987038
GALNT14	NA	0.714895276292335	0.78935548
GALNTL4	NA	0.6752389885573	0.94498724
GALNTL5	NA	0.724896857570008	0.53061585
GAP43	NA	0.666242237364154	0.85598698
GAR1	NA	0.493977847737335	0.70723085
GAS2	NA	0.826346242309241	0.57401974
GAS6	NA	0.729646800069001	0.81187079
GATAD2A	NA	0.583782919326088	0.74692246
GBE1	NA	0.65251495026163	0.62516965
GCKR	NA	0.642201066643666	0.62432064
GCNT1	NA	0.760820251854407	0.82413856
GDA	NA	0.849280518659076	0.88228786
GDPD1	NA	0.732264533379334	0.56826943
GDPD2	NA	0.665803432810074	0.56689943
GEM	NA	0.484883704214824	0.68203767
GFM1	NA	0.449955796101432	0.53142293
GFRA2	S1.Pyramidal	0.763203309182911	0.65054767
GGA2	NA	0.698415847277327	0.60410189
GGCT	NA	0.741975734575355	0.6033707
GGT5	NA	0.52374468115692	0.53662781
GGT6	NA	0.469801549652119	0.65116111
GHDC	Oligodendrocyte	0.599950405382094	0.60504186
GHR	NA	0.830976870220229	0.76749858
GINS2	Microglia	0.522108418147318	0.71344114
GIT1	NA	0.493130067276177	0.75973854
GIT2	NA	0.646391452475418	0.55265836
GJB1	Oligodendrocyte	0.481385846127307	0.5606679
GLB1	NA	0.460124489678569	0.58416456
GLCCI1	NA	0.869720329480766	0.84486638
GLCE	NA	0.56437632971077	0.8348441
GLI2	Astrocyte	0.556635256741993	0.58006083
GLIS3	NA	0.454151572652521	0.54008379
GLP2R	NA	0.751597449830372	0.67530355
GLRA2	NA	0.902433370708987	0.78077611
GLRA3	NA	0.736858504398827	0.9669044
GLRX	NA	0.611120694612156	0.59079248
GLRX2	NA	0.686900911390949	0.61091104
GLS2	NA	0.798130857915014	0.73677011
GLT8D2	NA	0.806105169340464	0.75761004
GLUD1	Astrocyte	0.5700356217749	0.72564524
GMPR	NA	0.652470386981772	0.55658056
GNA14	NA	0.652086567764936	0.86981506
GNAI2	NA	0.53214054683457	0.81909057
GNAL	NA	0.562815177390604	0.75057174
GNB3	NA	0.627098786728768	0.52503425
GNB4	NA	0.867974095796676	0.84272652
GNB5	NA	0.486086194008395	0.64655291
GNG2	NA	0.859816859295038	0.87698782
GNG4	Interneuron	0.828881677304353	0.8594353
GNGT2	NA	0.808838982807199	0.82812388
GNPTAB	NA	0.728161477200851	0.82946217
GOLGA8A	NA	0.463513095854177	0.6216731
GOLM1	NA	0.803252400667012	0.80272858
GOT1	NA	0.491689667069174	0.57256893
GPATCH8	NA	0.511081522051636	0.52326407
GPC4	NA	0.870362184463228	0.69994928
GPC5	NA	0.587313481110919	0.72266635
GPC6	Astrocyte	0.626970846989822	0.64246311
GPD1	Oligodendrocyte	0.512123009027658	0.52418999
GPD2	CA1.Pyramidal	0.717161534701857	0.88268561
GPHN	NA	0.708535664999137	0.75461649
GPLD1	NA	0.856457003622563	0.97855351
GPNMB	NA	0.539751164395377	0.71149883
GPR108	NA	0.654875725950204	0.73533989
GPR116	Endothelial	0.461945834052096	0.72603076
GPR125	NA	0.591903498936231	0.61563727
GPR137B	NA	0.482766948421597	0.61152054
GPR143	NA	0.633893608763153	0.75424596
GPR155	Oligodendrocyte	0.474696682191938	0.58707966
GPR156	NA	0.457277830487034	0.58554604
GPR158	NA	0.748921856132482	0.75482746
GPR161	CA1.Pyramidal	0.852733813466736	0.82709248
GPR21	NA	0.584974987062274	0.67891567
GPR56	NA	0.587643033753091	0.83216591
GPR6	NA	0.714712710597436	0.71722087
GPR88	S1.Pyramidal	0.843134020470358	0.69675737
GPR98	Ependymal	0.702761126444713	0.85925454
GPRIN1	NA	0.824454099821747	0.63332179
GPT2	NA	0.677144068771204	0.59754269
GPX3	Microglia	0.835451886033006	0.81264116
GRAMD1B	NA	0.666583649588868	0.64751263
GRAMD1C	NA	0.506878917256052	0.75940566
GRAMD4	NA	0.677094114772009	0.67407661
GRASP	CA1.Pyramidal	0.655062604220574	0.53858086
GRB14	Oligodendrocyte	0.718960597435455	0.70214757
GREM1	CA1.Pyramidal	0.462852193663389	0.59488473
GRIA1	NA	0.826155770225979	0.94638107
GRID2	NA	0.682447099074234	0.65067524
GRIK2	Interneuron	0.767603933068829	0.78288489
GRIK4	NA	0.617607167500431	0.86476344
GRIN2B	NA	0.54875330630786	0.74370048
GRIN3A	NA	0.791326691967109	0.86761274
GRK5	Endothelial	0.471560361681329	0.60036565
GRM1	NA	0.795878615375769	0.81827059
GRM2	S1.Pyramidal	0.524570539359439	0.6011586
GRM7	NA	0.581624834684607	0.77129228
GRM8	S1.Pyramidal	0.664890244954287	0.64068513
GRP	NA	0.851443634638606	0.65814502
GRPEL2	NA	0.553870536484389	0.79438655
GSG1	NA	0.775385256741993	0.70762576
GSG1L	S1.Pyramidal	0.717804827209476	0.8396652
GSTM5	NA	0.68243595825427	0.5360486
GSTO2	NA	0.553820582485194	0.64839764
GSTT1	NA	0.765658602150538	0.84247962
GTDC1	S1.Pyramidal	0.560381447300328	0.80208787
GTPBP4	NA	0.456319719970099	0.63553755
GUCA1A	NA	0.64058816341786	0.56757256
GUCY1A3	NA	0.712534500603761	0.76289488
GUCY1B3	Mural	0.492772482893451	0.54855105
GULP1	NA	0.75321825944454	0.91083999
GYPE	NA	0.811661922833649	0.56813718
GZF1	NA	0.512136306135357	0.56771575
H1F0	NA	0.539777399229487	0.54796504
HACL1	NA	0.637199557242252	0.77717118
HAGHL	NA	0.652243617388304	0.54910532
HAPLN2	NA	0.512051851532402	0.64417811
HAPLN4	NA	0.867526666091657	0.86656233
HCFC1R1	NA	0.519417371053993	0.62775722
HCN1	NA	0.829136119257087	0.88850502
HCN2	Oligodendrocyte	0.622551175895578	0.80734458
HCRTR1	NA	0.492910485308493	0.61322385
HCST	NA	0.691179345638549	0.55253445
HDAC4	NA	0.498288985682249	0.76512092
HDAC9	Interneuron	0.75104687769536	0.55896787
HEBP1	NA	0.714392501868783	0.60758258
HECW1	NA	0.800270973492036	0.60240366
HEG1	Endothelial	0.485977301477776	0.71804967
HEPH	Astrocyte	0.462851115519522	0.53364925
HERC5	NA	0.583237019147835	0.70794347
HERC6	NA	0.58164531941809	0.63434282
HERPUD1	NA	0.670162009085159	0.8117302
HES6	NA	0.762273230406532	0.63116347
HEY1	Astrocyte	0.570363981369674	0.52141654
HGF	NA	0.713972744523029	0.83419066
HHIPL1	NA	0.657532631821057	0.74935271
HINFP	NA	0.491259847047323	0.56683363
HINT3	Oligodendrocyte	0.464535176240584	0.68722265
HIST1H1A	NA	0.651406618365821	0.52141759
HIST1H2BC	NA	0.481473535161865	0.65255653
HIST1H2BK	NA	0.787145650048876	0.53383001
HIST1H3A	NA	0.668449557242252	0.78616361
HIST4H4	NA	0.453307386004255	0.60456245
HIVEP2	NA	0.778694439652694	0.73583091
HLA-DRA	NA	0.600388131792306	0.65747795
HMBS	NA	0.628960741187971	0.74647517
HMGB3	NA	0.497991058593525	0.64794168
HMGCS1	Oligodendrocyte	0.637124087171525	0.65379915
HMGN1	Ependymal	0.470146915071014	0.7045246
HMGN2	NA	0.456311813581738	0.59883354
HMGN3	NA	0.476510479558392	0.65621148
HN1	NA	0.756221608878155	0.54184177
HPCAL1	NA	0.718037961024032	0.75733
HPCAL4	NA	0.892652449542867	0.7993103
HPSE	NA	0.599142156862745	0.82991578
HR	NA	0.861481513426485	0.82659503
HRASLS	Ependymal	0.757296158932781	0.74639131
HRASLS5	NA	0.610256382611696	0.78946111
HRC	NA	0.597570582485193	0.67415515
HRH1	NA	0.786539014432753	0.83692525
HRSP12	NA	0.591520398481973	0.62245661
HS2ST1	NA	0.589341829107009	0.75408473
HS3ST1	Oligodendrocyte	0.703473420159853	0.81111083
HS3ST5	NA	0.863838695302168	0.52331881
HS6ST2	NA	0.723042090736588	0.75800079
HSBP1	NA	0.647892228739003	0.67561596
HSD11B1	Astrocyte	0.708293801391524	0.67251888
HSD11B1L	NA	0.710760594560405	0.83326752
HSDL1	NA	0.535423494911161	0.74325327
HSPA4L	NA	0.761563092979127	0.86940441
HSPB3	NA	0.805889181185671	0.66904016
HSPB6	Ependymal	0.675396397561957	0.65249738
HSPB8	NA	0.799636665516646	0.89907758
HTR1A	NA	0.847248576850095	0.76985241
HTR1B	Ependymal	0.491121844632281	0.81687984
HTR1D	NA	0.690341987234777	0.61133342
HTR1E	NA	0.775857124374676	0.92040727
HTR1F	S1.Pyramidal	0.874794074521304	0.61458976
HTR2A	S1.Pyramidal	0.67537339715945	0.655888
HTR2C	Interneuron	0.88740871715255	0.60246841
HTR3B	NA	0.775471508251394	0.70052646
HTR7	NA	0.76089284687482	0.9072023
HUNK	CA1.Pyramidal	0.645417529181761	0.7931583
IBSP	NA	0.530234029095509	0.58063238
ICA1	NA	0.832379894773159	0.7783156
ICAM5	NA	0.809577511356449	0.89269867
IDE	NA	0.680247685584498	0.80751472
IDH2	NA	0.587242231946354	0.56249907
IDH3A	NA	0.646506095106664	0.55853576
IDH3G	NA	0.515945029038008	0.64993925
IDNK	NA	0.740028606750618	0.52317928
IDS	NA	0.773485567247427	0.83843964
IER5L	Endothelial	0.643085144615031	0.61896424
IFFO1	NA	0.69333743028003	0.81069267
IFI27	NA	0.469241992984877	0.56703248
IFNAR2	NA	0.468464291875108	0.58285373
IFT57	NA	0.540413863492611	0.67754539
IGDCC3	NA	0.632286815019263	0.56490388
IGFBP1	NA	0.498820151227647	0.56998319
IGFBP2	NA	0.850625682824449	0.83369324
IGFBP5	NA	0.756215499396239	0.65068715
IGFL4	NA	0.657400379506641	0.89813476
IGSF21	S1.Pyramidal	0.493325570697487	0.556256
IL12RB2	NA	0.71528843942269	0.8701125
IL13RA2	NA	0.903718518199068	0.72104102
IL15RA	NA	0.608862701972285	0.65285615
IL17D	NA	0.562616080156403	0.59564172
IL17RA	NA	0.570536125007188	0.75418665
IL17RD	NA	0.75371348686102	0.92523681
IL1B	Microglia	0.699603243056753	0.74557199
IL34	Mural	0.760760594560405	0.55894629
IL6R	NA	0.63545008912656	0.89235902
IL7R	NA	0.706957621758381	0.60614809
INA	NA	0.832669915473521	0.74372758
INADL	NA	0.686838019665344	0.8707173
INPP4B	NA	0.515824276924846	0.81740771
INPP5A	NA	0.603575484445978	0.67039431
INPP5E	NA	0.47433119142085	0.53456443
INPP5J	NA	0.48852926801219	0.70978239
INSIG2	NA	0.518954847334828	0.59093265
INSM1	NA	0.7029706457363	0.6718496
INSM2	NA	0.730414079121385	0.75635958
INTS4L1	NA	0.703785003737565	0.84660283
INTS8	NA	0.749715370018975	0.57166271
INTS9	NA	0.714510019550342	0.66940546
INTU	Ependymal	0.690374331550802	0.75742572
IPO5	NA	0.520446998447473	0.76011834
IQCA1	Ependymal	0.665212609970674	0.76049331
IQCK	Ependymal	0.600016890920591	0.81088628
IQGAP2	NA	0.673087372779024	0.55929241
IQSEC1	NA	0.650242582370192	0.59497645
IRS1	NA	0.756458081766431	0.79832391
ISCU	NA	0.672348125467196	0.69388563
ISLR	NA	0.667179863147605	0.76621308
ITFG2	NA	0.564764461503076	0.65560013
ITGA11	NA	0.761476482088437	0.88865093
ITGA7	NA	0.589043794246118	0.52921954
ITGA8	Mural	0.788326936346386	0.72216307
ITGB1	NA	0.504181401299523	0.66575889
ITGB1BP1	NA	0.645730909665919	0.52192557
ITGB3BP	NA	0.535373900293255	0.81966611
ITM2A	Endothelial	0.785977660859065	0.88895005
ITPKC	NA	0.605839586567765	0.54786742
ITPR1	NA	0.803603516186533	0.85107696
JAKMIP1	NA	0.639534816859295	0.53460685
JAM2	NA	0.561436950146628	0.53866691
JAZF1	NA	0.453715643148755	0.52144581
JDP2	NA	0.828682580070151	0.68521704
JPH4	CA1.Pyramidal	0.654615174515554	0.71492078
JUN	NA	0.588333405209591	0.77518838
KAL1	NA	0.680557472255765	0.83559541
KALRN	NA	0.525719121959634	0.56939567
KANK1	NA	0.517035391869358	0.70222207
KATNAL1	NA	0.470122836524639	0.64437991
KBTBD3	NA	0.73396476625841	0.6364968
KBTBD6	NA	0.628048631476051	0.59067324
KCNA1	Oligodendrocyte	0.907963170605485	0.94365593
KCNA2	NA	0.752998677476856	0.80907725
KCNA4	CA1.Pyramidal	0.73233137829912	0.72732183
KCNAB2	NA	0.508800169627968	0.70079065
KCNAB3	NA	0.901114800759013	0.97109769
KCNB1	NA	0.778211431200046	0.52422035
KCNB2	CA1.Pyramidal	0.727896613190731	0.71101634
KCNC1	Interneuron	0.868785219366339	0.81363978
KCNC2	NA	0.614183341958484	0.70822359
KCNC3	NA	0.833322911275947	0.92094252
KCND3	Interneuron	0.649656431487551	0.52650952
KCNE1L	NA	0.614774164797884	0.60487121
KCNG1	NA	0.912524797308953	0.86518278
KCNG3	NA	0.693048128342246	0.96435332
KCNH1	S1.Pyramidal	0.552464996262435	0.82059527
KCNH4	S1.Pyramidal	0.675865390144327	0.66772271
KCNH5	S1.Pyramidal	0.775092001610028	0.6779143
KCNH7	S1.Pyramidal	0.57437898913231	0.72942521
KCNH8	NA	0.446798272094762	0.57485801
KCNIP2	NA	0.613995385544247	0.7312526
KCNIP4	NA	0.493289273187281	0.79434077
KCNJ11	S1.Pyramidal	0.574437568282445	0.71873704
KCNJ3	NA	0.734869328963257	0.61371348
KCNJ9	S1.Pyramidal	0.481786556264735	0.53334865
KCNK1	NA	0.573044606405612	0.64324186
KCNK12	NA	0.674472068886205	0.87285118
KCNK13	NA	0.787411232821574	0.68475877
KCNK15	NA	0.616817966189408	0.52864576
KCNMB2	Interneuron	0.672999324363176	0.76098857
KCNMB4	NA	0.735348743603013	0.79264494
KCNN2	NA	0.687648065091139	0.77529537
KCNN3	NA	0.806090075326318	0.65316554
KCNQ5	NA	0.733151486401012	0.85992864
KCNS1	S1.Pyramidal	0.881053418434823	0.84349572
KCNS2	NA	0.707154922086136	0.81469994
KCNS3	NA	0.600737809786671	0.52606713
KCNT2	S1.Pyramidal	0.564271749755621	0.55736256
KCTD15	NA	0.730575081938934	0.71458328
KCTD4	NA	0.896408343396009	0.90400411
KCTD8	Interneuron	0.733814544879535	0.62468323
KCTD9	NA	0.756265812776724	0.92658514
KDM2B	Microglia	0.584085877752861	0.56925102
KIAA0100	NA	0.468161692829625	0.60979941
KIAA0182	NA	0.68592770685987	0.8560199
KIAA0284	NA	0.588306092231614	0.63718628
KIAA0319	NA	0.57824018170318	0.77810586
KIAA0430	NA	0.610627264102122	0.61311158
KIAA0913	NA	0.458932421942384	0.52727291
KIAA1199	NA	0.757089514691507	0.65710949
KIAA1244	NA	0.729609065033638	0.59208235
KIAA1456	Interneuron	0.756456644241274	0.84620194
KIAA1841	NA	0.747957995514922	0.792728
KIF17	NA	0.710184146972572	0.56242768
KIF21B	NA	0.802155928353746	0.57633517
KIF27	Ependymal	0.565541084468978	0.74316832
KIF5A	NA	0.615294908285895	0.78695927
KIRREL3	NA	0.737039991949859	0.87308622
KITLG	Endothelial	0.643964550629636	0.76175446
KL	Ependymal	0.703289416939796	0.69309679
KLC2	NA	0.520331996434938	0.82267867
KLC4	NA	0.500176096831695	0.66318492
KLF12	NA	0.765869918348571	0.75242822
KLF8	NA	0.801633028578	0.5595352
KLF9	NA	0.87663734115347	0.95472864
KLHDC8B	NA	0.810377494106147	0.62315817
KLHL1	S1.Pyramidal	0.799968733827842	0.64506315
KLHL12	NA	0.615800557759761	0.71935919
KLHL13	NA	0.765281611178196	0.77236857
KLHL14	NA	0.571537720660112	0.55615994
KLHL2	Oligodendrocyte	0.556131763555862	0.57010884
KLHL28	NA	0.487046101431775	0.5565468
KLHL35	NA	0.536715111264447	0.65428204
KLHL8	NA	0.537107555632224	0.52600953
KLK5	NA	0.803832801449025	0.57151616
KLK7	CA1.Pyramidal	0.843644701282272	0.83001229
KMO	NA	0.61707779886148	0.63002833
KNG1	NA	0.828393996894946	0.8587059
KREMEN1	Ependymal	0.636812503593813	0.71949736
KRR1	NA	0.615568038065666	0.53734049
KRT222	S1.Pyramidal	0.47431358173768	0.56600942
L3MBTL4	NA	0.636233899718245	0.81668758
